"plate_id","garden","meso_id","soil_id","seed_id","intact_seeds","seed_code","plating_date","germination_date","fungidate_type","fungi_type","death_date","obs","notes","colonization","home_away"
301,"SUM",4,"CR","TI",1,"A",2025-07-09,NA,"7/14-F","F",NA,"HL","pink, fluffy, greyish",1,"Away"
300,"SUM",4,"CR","BB",4,"A",2025-07-09,NA,NA,NA,NA,"HL","seeds not symptomatic but plate is contaminated, brownish",0,"Away"
300,"SUM",4,"CR","BB",4,"B",2025-07-09,NA,NA,NA,NA,"HL","seeds not symptomatic but plate is contaminated, brownish",0,"Away"
300,"SUM",4,"CR","BB",4,"C",2025-07-09,NA,NA,NA,NA,"HL","seeds not symptomatic but plate is contaminated, brownish",0,"Away"
300,"SUM",4,"CR","BB",4,"D",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
302,"SUM",5,"NG","NG",3,"A",2025-07-10,NA,"7/14-F","F",NA,"HL","dark brown fungi with spots",1,"Home"
302,"SUM",5,"NG","NG",3,"B",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Home"
302,"SUM",5,"NG","NG",3,"C",2025-07-10,NA,"7/14-F","F",NA,"HL","brown grey spots",1,"Home"
303,"SUM",5,"NG","RC",6,"A",2025-07-10,NA,"7/22-O","O",NA,"HL","brown , not fluffy but has orangish spots",1,"Away"
303,"SUM",5,"NG","RC",6,"B",2025-07-10,NA,"7/22-O","O",NA,"HL","brown, not fluffy but has orangish spots",1,"Away"
303,"SUM",5,"NG","RC",6,"C",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
303,"SUM",5,"NG","RC",6,"D",2025-07-10,NA,"7/14-O","O",NA,"HL","gluey brown circular",1,"Away"
303,"SUM",5,"NG","RC",6,"E",2025-07-10,NA,"7/14-O","O",NA,"HL","gluey brown circular",1,"Away"
303,"SUM",5,"NG","RC",6,"F",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
304,"SUM",6,"BB","BB",10,"A",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Home"
304,"SUM",6,"BB","BB",10,"B",2025-07-10,NA,"7/14-O","O",NA,"HL",NA,1,"Home"
