"garden","meso_id","soil_id","treat","n_bags","...31","entered_by","bag","seed_id","intact","obs","date","notes","seed_fate","n_seeds"
"SUM",1,"RC","Live",3,1,"HL",1,"TI",1,"SF","45807",NA,"germinated",9
"SUM",1,"RC","Live",3,1,"HL",1,"TI",1,"SF","45807",NA,"burst",0
"SUM",1,"RC","Live",3,1,"HL",1,"TI",1,"SF","45807",NA,"missing",0
"WIL",1,"RC","Live",3,1,"HL",1,"NG",2,"HL","45812",NA,"germinated",5
"WIL",1,"RC","Live",3,1,"HL",1,"NG",2,"HL","45812",NA,"burst",0
"WIL",1,"RC","Live",3,1,"HL",1,"NG",2,"HL","45812",NA,"missing",3
"SUM",1,"RC","Live",3,1,"HL",2,"NG",1,"SF","45807",NA,"germinated",9
"SUM",1,"RC","Live",3,1,"HL",2,"NG",1,"SF","45807",NA,"burst",0
"SUM",1,"RC","Live",3,1,"HL",2,"NG",1,"SF","45807",NA,"missing",0
"WIL",1,"RC","Live",3,1,"HL",2,"TI",3,"HL","45812","1intact shriveled","germinated",5
"WIL",1,"RC","Live",3,1,"HL",2,"TI",3,"HL","45812","1intact shriveled","burst",2
"WIL",1,"RC","Live",3,1,"HL",2,"TI",3,"HL","45812","1intact shriveled","missing",0
"SUM",1,"RC","Live",3,1,"HL",3,"BB",7,"SF","45807","1 intact may have just begun germinating","germinated",3
"SUM",1,"RC","Live",3,1,"HL",3,"BB",7,"SF","45807","1 intact may have just begun germinating","burst",0
"SUM",1,"RC","Live",3,1,"HL",3,"BB",7,"SF","45807","1 intact may have just begun germinating","missing",0
"WIL",1,"RC","Live",3,1,"HL",3,"BB",4,"HL","45812",NA,"germinated",6
"WIL",1,"RC","Live",3,1,"HL",3,"BB",4,"HL","45812",NA,"burst",0
"WIL",1,"RC","Live",3,1,"HL",3,"BB",4,"HL","45812",NA,"missing",0
"SUM",2,"BB","Live",2,2,"HL",1,"SR",2,"SF","45807","bag not fully sealed","germinated",6
"SUM",2,"BB","Live",2,2,"HL",1,"SR",2,"SF","45807","bag not fully sealed","burst",0
"SUM",2,"BB","Live",2,2,"HL",1,"SR",2,"SF","45807","bag not fully sealed","missing",2
"WIL",2,"BB","Live",2,2,"HL",1,"SR",3,"SF","45812","1 intact in pieces","germinated",6
"WIL",2,"BB","Live",2,2,"HL",1,"SR",3,"SF","45812","1 intact in pieces","burst",1
"WIL",2,"BB","Live",2,2,"HL",1,"SR",3,"SF","45812","1 intact in pieces","missing",0
"SUM",2,"BB","Live",2,2,"HL",2,"CR",7,"SF","45807","1 intact black, shriveled","germinated",3
"SUM",2,"BB","Live",2,2,"HL",2,"CR",7,"SF","45807","1 intact black, shriveled","burst",0
"SUM",2,"BB","Live",2,2,"HL",2,"CR",7,"SF","45807","1 intact black, shriveled","missing",0
"WIL",2,"BB","Live",2,2,"HL",2,"CR",9,"SF","45812",NA,"germinated",0
"WIL",2,"BB","Live",2,2,"HL",2,"CR",9,"SF","45812",NA,"burst",0
"WIL",2,"BB","Live",2,2,"HL",2,"CR",9,"SF","45812",NA,"missing",1
"SUM",2,"BB","Live",2,2,"HL",3,NA,NA,NA,NA,NA,"germinated",NA
"SUM",2,"BB","Live",2,2,"HL",3,NA,NA,NA,NA,NA,"burst",NA
"SUM",2,"BB","Live",2,2,"HL",3,NA,NA,NA,NA,NA,"missing",NA
"WIL",2,"BB","Live",2,2,"HL",3,NA,NA,NA,NA,NA,"germinated",NA
"WIL",2,"BB","Live",2,2,"HL",3,NA,NA,NA,NA,NA,"burst",NA
"WIL",2,"BB","Live",2,2,"HL",3,NA,NA,NA,NA,NA,"missing",NA
"SUM",3,"SR","Dead",2,3,"HL",1,"NG",6,"SF","45810","1 intact may be germ","germinated",4
"SUM",3,"SR","Dead",2,3,"HL",1,"NG",6,"SF","45810","1 intact may be germ","burst",0
"SUM",3,"SR","Dead",2,3,"HL",1,"NG",6,"SF","45810","1 intact may be germ","missing",0
"WIL",3,"SR","Dead",2,3,"HL",1,"NG",3,"SF","45811",NA,"germinated",7
"WIL",3,"SR","Dead",2,3,"HL",1,"NG",3,"SF","45811",NA,"burst",0
"WIL",3,"SR","Dead",2,3,"HL",1,"NG",3,"SF","45811",NA,"missing",0
"SUM",3,"SR","Dead",2,3,"HL",2,"BB",2,"SF","45810",NA,"germinated",8
"SUM",3,"SR","Dead",2,3,"HL",2,"BB",2,"SF","45810",NA,"burst",0
"SUM",3,"SR","Dead",2,3,"HL",2,"BB",2,"SF","45810",NA,"missing",0
"WIL",3,"SR","Dead",2,3,"HL",2,"BB",3,"SF","45811",NA,"germinated",7
"WIL",3,"SR","Dead",2,3,"HL",2,"BB",3,"SF","45811",NA,"burst",0
"WIL",3,"SR","Dead",2,3,"HL",2,"BB",3,"SF","45811",NA,"missing",0
"SUM",3,"SR","Dead",2,3,"HL",3,NA,NA,NA,NA,NA,"germinated",NA
"SUM",3,"SR","Dead",2,3,"HL",3,NA,NA,NA,NA,NA,"burst",NA
"SUM",3,"SR","Dead",2,3,"HL",3,NA,NA,NA,NA,NA,"missing",NA
"WIL",3,"SR","Dead",2,3,"HL",3,NA,NA,NA,NA,NA,"germinated",NA
"WIL",3,"SR","Dead",2,3,"HL",3,NA,NA,NA,NA,NA,"burst",NA
"WIL",3,"SR","Dead",2,3,"HL",3,NA,NA,NA,NA,NA,"missing",NA
"SUM",4,"CR","Dead",2,4,"HL",1,"TI",1,"HL","45810",NA,"germinated",7
"SUM",4,"CR","Dead",2,4,"HL",1,"TI",1,"HL","45810",NA,"burst",1
"SUM",4,"CR","Dead",2,4,"HL",1,"TI",1,"HL","45810",NA,"missing",1
"WIL",4,"CR","Dead",2,4,"HL",1,"TI",2,"SF","45811","1 intact, black and mushy","germinated",8
"WIL",4,"CR","Dead",2,4,"HL",1,"TI",2,"SF","45811","1 intact, black and mushy","burst",0
"WIL",4,"CR","Dead",2,4,"HL",1,"TI",2,"SF","45811","1 intact, black and mushy","missing",0
"SUM",4,"CR","Dead",2,4,"HL",2,"BB",4,"HL","45810",NA,"germinated",6
"SUM",4,"CR","Dead",2,4,"HL",2,"BB",4,"HL","45810",NA,"burst",0
"SUM",4,"CR","Dead",2,4,"HL",2,"BB",4,"HL","45810",NA,"missing",0
"WIL",4,"CR","Dead",2,4,"HL",2,"BB",7,"SF","45811",NA,"germinated",3
