"garden","meso_id","soil_id","treat","n_bags","...31","entered_by","bag","seed_id","intact","germinated","burst","missing","obs","date","notes"
"SUM",1,"RC","Live",3,1,"HL",1,"TI",1,9,0,0,"SF","45807",NA
"WIL",1,"RC","Live",3,1,"HL",1,"NG",2,5,0,3,"HL","45812",NA
"SUM",1,"RC","Live",3,1,"HL",2,"NG",1,9,0,0,"SF","45807",NA
"WIL",1,"RC","Live",3,1,"HL",2,"TI",3,5,2,0,"HL","45812","1intact shriveled"
"SUM",1,"RC","Live",3,1,"HL",3,"BB",7,3,0,0,"SF","45807","1 intact may have just begun germinating"
"WIL",1,"RC","Live",3,1,"HL",3,"BB",4,6,0,0,"HL","45812",NA
"SUM",2,"BB","Live",2,2,"HL",1,"SR",2,6,0,2,"SF","45807","bag not fully sealed"
"WIL",2,"BB","Live",2,2,"HL",1,"SR",3,6,1,0,"SF","45812","1 intact in pieces"
"SUM",2,"BB","Live",2,2,"HL",2,"CR",7,3,0,0,"SF","45807","1 intact black, shriveled"
"WIL",2,"BB","Live",2,2,"HL",2,"CR",9,0,0,1,"SF","45812",NA
"SUM",2,"BB","Live",2,2,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",2,"BB","Live",2,2,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",3,"SR","Dead",2,3,"HL",1,"NG",6,4,0,0,"SF","45810","1 intact may be germ"
"WIL",3,"SR","Dead",2,3,"HL",1,"NG",3,7,0,0,"SF","45811",NA
"SUM",3,"SR","Dead",2,3,"HL",2,"BB",2,8,0,0,"SF","45810",NA
"WIL",3,"SR","Dead",2,3,"HL",2,"BB",3,7,0,0,"SF","45811",NA
"SUM",3,"SR","Dead",2,3,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",3,"SR","Dead",2,3,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",4,"CR","Dead",2,4,"HL",1,"TI",1,7,1,1,"HL","45810",NA
"WIL",4,"CR","Dead",2,4,"HL",1,"TI",2,8,0,0,"SF","45811","1 intact, black and mushy"
"SUM",4,"CR","Dead",2,4,"HL",2,"BB",4,6,0,0,"HL","45810",NA
"WIL",4,"CR","Dead",2,4,"HL",2,"BB",7,3,0,0,"SF","45811",NA
"SUM",4,"CR","Dead",2,4,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",4,"CR","Dead",2,4,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",5,"NG","Live",3,5,"HL",1,"NG",3,7,0,0,"SF","45810","1 intact black, shriveled"
"WIL",5,"NG","Live",3,5,"HL",1,"RC",3,7,0,0,"HL","45811","pink growth (fusarium)"
"SUM",5,"NG","Live",3,5,"HL",2,"RC",6,4,0,0,"SF","45810","1 intact shriveled"
"WIL",5,"NG","Live",3,5,"HL",2,"HR",4,4,0,2,"HL","45811","possibly another intact but got squished"
"SUM",5,"NG","Live",3,5,"HL",3,"HR",10,0,0,0,"SF","45810",NA
"WIL",5,"NG","Live",3,5,"HL",3,"NG",3,7,0,0,"HL","45811",NA
"SUM",6,"BB","Live",3,6,"HL",1,"BB",10,0,0,0,"HL","45810",NA
"WIL",6,"BB","Live",3,6,"HL",1,"BB",6,3,0,1,"SF","45812",NA
"SUM",6,"BB","Live",3,6,"HL",2,"RC",3,4,0,3,"HL","45810",NA
"WIL",6,"BB","Live",3,6,"HL",2,"RC",8,2,0,0,"SF","45812","intact are black/shriveled"
"SUM",6,"BB","Live",3,6,"HL",3,"HR",9,0,0,1,"HL","45810",NA
"WIL",6,"BB","Live",3,6,"HL",3,"HR",8,2,0,0,"SF","45812",NA
"SUM",7,"SR","Dead",3,7,"HL",1,"SR",3,6,1,0,"SF","45807",NA
"WIL",7,"SR","Dead",3,7,"HL",1,"SR",1,9,0,0,"SF","45811",NA
"SUM",7,"SR","Dead",3,7,"HL",2,"HG",4,6,0,0,"SF","45807",NA
"WIL",7,"SR","Dead",3,7,"HL",2,"HG",7,3,0,0,"SF","45811",NA
"SUM",7,"SR","Dead",3,7,"HL",3,"AH",9,1,0,0,"SF","45807",NA
"WIL",7,"SR","Dead",3,7,"HL",3,"AH",8,1,1,0,"SF","45811",NA
"SUM",8,"BB","Live",3,8,"HL",1,"BB",10,0,0,0,"SF","45810",NA
"WIL",8,"BB","Live",3,8,"HL",1,"BB",8,2,0,0,"SF","45812",NA
"SUM",8,"BB","Live",3,8,"HL",2,"RC",3,6,0,1,"SF","45810","intact super shriveled"
"WIL",8,"BB","Live",3,8,"HL",2,"RC",5,4,0,1,"SF","45812","1 intact fell apart"
"SUM",8,"BB","Live",3,8,"HL",3,"HR",10,0,0,0,"SF","45810","white dots on intact"
